code_module,code_presentation,id_assessment,assessment_type,date,weight,boundary_day
AAA,2013J,1752,TMA,19.0,10.0,67
AAA,2013J,1753,TMA,54.0,20.0,67
AAA,2014J,1758,TMA,19.0,10.0,67
AAA,2014J,1759,TMA,54.0,20.0,67
BBB,2013B,14991,CMA,54.0,1.0,60
BBB,2013B,14984,TMA,19.0,5.0,60
BBB,2013B,14985,TMA,47.0,18.0,60
BBB,2013J,15003,CMA,54.0,1.0,67
BBB,2013J,14996,TMA,19.0,5.0,67
BBB,2013J,14997,TMA,47.0,18.0,67
BBB,2014B,15015,CMA,47.0,1.0,58
BBB,2014B,15008,TMA,12.0,5.0,58
BBB,2014B,15009,TMA,40.0,18.0,58
BBB,2014J,15020,TMA,19.0,0.0,65
BBB,2014J,15021,TMA,54.0,10.0,65
CCC,2014B,24286,CMA,18.0,2.0,60
CCC,2014B,24282,TMA,32.0,9.0,60
CCC,2014J,24295,CMA,18.0,2.0,67
CCC,2014J,24296,CMA,67.0,7.0,67
CCC,2014J,24291,TMA,32.0,9.0,67
DDD,2013B,25341,CMA,23.0,2.0,60
DDD,2013B,25342,CMA,51.0,3.0,60
DDD,2013B,25334,TMA,25.0,7.5,60
DDD,2013B,25335,TMA,53.0,10.0,60
DDD,2013J,25348,TMA,25.0,10.0,65
DDD,2013J,25349,TMA,53.0,12.5,65
DDD,2014B,25355,TMA,25.0,10.0,60
DDD,2014B,25356,TMA,53.0,12.5,60
DDD,2014J,25362,TMA,20.0,5.0,65
DDD,2014J,25363,TMA,41.0,10.0,65
DDD,2014J,25364,TMA,62.0,10.0,65
EEE,2013J,30709,TMA,33.0,16.0,67
EEE,2014B,30714,TMA,33.0,16.0,60
EEE,2014J,30719,TMA,33.0,16.0,67
FFF,2013B,34860,TMA,19.0,12.5,60
FFF,2013B,34861,TMA,47.0,12.5,60
FFF,2013J,34873,TMA,19.0,12.5,67
FFF,2013J,34874,TMA,47.0,12.5,67
FFF,2014B,34886,TMA,24.0,12.5,60
FFF,2014B,34887,TMA,52.0,12.5,60
FFF,2014J,34899,TMA,24.0,12.5,67
FFF,2014J,34900,TMA,52.0,12.5,67
GGG,2013J,37415,TMA,61.0,0.0,65
GGG,2014J,37435,TMA,61.0,0.0,67
