code_module,code_presentation,id_student,final_result,module_presentation_length,boundary_day
AAA,2013J,11391,Pass,268,67
AAA,2013J,28400,Pass,268,67
AAA,2013J,30268,Withdrawn,268,67
AAA,2013J,31604,Pass,268,67
AAA,2013J,32885,Pass,268,67
AAA,2013J,38053,Pass,268,67
AAA,2013J,45462,Pass,268,67
AAA,2013J,45642,Pass,268,67
AAA,2013J,52130,Pass,268,67
AAA,2013J,53025,Pass,268,67
AAA,2013J,57506,Pass,268,67
AAA,2013J,58873,Pass,268,67
AAA,2013J,59185,Pass,268,67
AAA,2013J,62155,Pass,268,67
AAA,2013J,63400,Pass,268,67
AAA,2013J,65002,Withdrawn,268,67
AAA,2013J,70464,Pass,268,67
AAA,2013J,71361,Pass,268,67
AAA,2013J,74372,Fail,268,67
AAA,2013J,75091,Pass,268,67
AAA,2013J,77367,Pass,268,67
AAA,2013J,91265,Pass,268,67
AAA,2013J,94961,Withdrawn,268,67
AAA,2013J,98094,Pass,268,67
AAA,2013J,100893,Pass,268,67
AAA,2013J,101781,Pass,268,67
AAA,2013J,102806,Pass,268,67
AAA,2013J,102952,Pass,268,67
AAA,2013J,104476,Pass,268,67
AAA,2013J,106247,Withdrawn,268,67
AAA,2013J,106577,Pass,268,67
AAA,2013J,110175,Pass,268,67
AAA,2013J,111717,Pass,268,67
AAA,2013J,113295,Pass,268,67
AAA,2013J,114017,Pass,268,67
AAA,2013J,114999,Pass,268,67
AAA,2013J,116541,Pass,268,67
AAA,2013J,116692,Pass,268,67
AAA,2013J,118983,Pass,268,67
AAA,2013J,123044,Pass,268,67
AAA,2013J,127582,Pass,268,67
AAA,2013J,129955,Withdrawn,268,67
AAA,2013J,132976,Pass,268,67
AAA,2013J,134143,Distinction,268,67
AAA,2013J,135335,Withdrawn,268,67
AAA,2013J,135400,Withdrawn,268,67
AAA,2013J,137873,Pass,268,67
AAA,2013J,141355,Pass,268,67
AAA,2013J,141377,Withdrawn,268,67
AAA,2013J,142326,Pass,268,67
AAA,2013J,144801,Pass,268,67
AAA,2013J,145130,Pass,268,67
AAA,2013J,146188,Fail,268,67
AAA,2013J,147756,Fail,268,67
AAA,2013J,147793,Withdrawn,268,67
AAA,2013J,148993,Withdrawn,268,67
AAA,2013J,151358,Pass,268,67
AAA,2013J,155550,Pass,268,67
AAA,2013J,155854,Pass,268,67
AAA,2013J,155984,Withdrawn,268,67
AAA,2013J,157568,Pass,268,67
AAA,2013J,159954,Withdrawn,268,67
AAA,2013J,164259,Pass,268,67
