code_module,code_presentation,id_student,module_presentation_length,boundary_day,total_clicks,active_vle_days,vle_event_count,distinct_vle_sites,first_vle_day,last_vle_day,vle_span_days,early_assessments_submitted,mean_early_score,median_early_score,max_early_score,mean_submission_delay,late_early_submissions,early_assessment_attempts,early_assessments_available,assessment_submission_rate,final_result,feature_boundary_day,at_risk,target_exclusion_reason
AAA,2013J,11391,268,67,545.0,19.0,92.0,34.0,-5.0,65.0,70.0,2.0,81.5,81.5,85.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,28400,268,67,723.0,29.0,201.0,38.0,-10.0,64.0,74.0,2.0,69.0,69.0,70.0,0.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,30268,268,67,281.0,12.0,76.0,22.0,-10.0,12.0,22.0,,,,,,,,2.0,0.0,Withdrawn,67,1,
AAA,2013J,31604,268,67,879.0,43.0,259.0,42.0,-10.0,67.0,77.0,2.0,71.5,71.5,72.0,-2.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,32885,268,67,608.0,29.0,163.0,35.0,-10.0,67.0,77.0,1.0,69.0,69.0,69.0,7.0,1.0,1.0,2.0,0.5,Pass,67,0,
AAA,2013J,38053,268,67,1016.0,54.0,286.0,42.0,-10.0,66.0,76.0,2.0,74.0,74.0,79.0,5.0,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,45462,268,67,720.0,30.0,146.0,31.0,-10.0,66.0,76.0,2.0,67.5,67.5,70.0,0.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,45642,268,67,592.0,33.0,224.0,30.0,-9.0,57.0,66.0,2.0,72.0,72.0,72.0,1.0,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,52130,268,67,657.0,42.0,210.0,33.0,-4.0,67.0,71.0,2.0,70.0,70.0,72.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,53025,268,67,903.0,40.0,268.0,39.0,-7.0,67.0,74.0,2.0,75.5,75.5,80.0,-6.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,57506,268,67,736.0,40.0,190.0,34.0,-10.0,67.0,77.0,2.0,72.0,72.0,76.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,58873,268,67,761.0,38.0,201.0,36.0,-10.0,67.0,77.0,2.0,73.5,73.5,74.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,59185,268,67,714.0,31.0,179.0,31.0,-10.0,67.0,77.0,2.0,69.0,69.0,71.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,62155,268,67,1172.0,45.0,306.0,50.0,-10.0,67.0,77.0,2.0,79.0,79.0,85.0,-3.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,63400,268,67,1106.0,56.0,268.0,38.0,-10.0,67.0,77.0,2.0,62.5,62.5,83.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,65002,268,67,170.0,10.0,53.0,25.0,-10.0,51.0,61.0,2.0,67.0,67.0,68.0,-2.5,0.0,2.0,2.0,1.0,Withdrawn,67,1,
AAA,2013J,70464,268,67,534.0,22.0,122.0,43.0,-10.0,66.0,76.0,2.0,59.5,59.5,60.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,71361,268,67,1485.0,54.0,396.0,42.0,-10.0,67.0,77.0,2.0,84.0,84.0,86.0,-0.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,74372,268,67,76.0,7.0,43.0,17.0,-5.0,54.0,59.0,2.0,39.0,39.0,60.0,1.5,1.0,2.0,2.0,1.0,Fail,67,1,
AAA,2013J,75091,268,67,1397.0,46.0,291.0,57.0,-10.0,65.0,75.0,2.0,66.5,66.5,67.0,-1.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,77367,268,67,396.0,40.0,149.0,26.0,-10.0,65.0,75.0,2.0,74.5,74.5,76.0,-0.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,91265,268,67,697.0,39.0,213.0,31.0,-8.0,67.0,75.0,2.0,74.5,74.5,75.0,6.0,2.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,94961,268,67,339.0,24.0,102.0,26.0,-10.0,55.0,65.0,1.0,74.0,74.0,74.0,-2.0,0.0,1.0,2.0,0.5,Withdrawn,67,1,
