feature,dtype,missing,missing_pct,unique
module_presentation_length,int64,0,0.0,7
boundary_day,int64,0,0.0,4
total_clicks,float64,3474,10.658730402233608,2847
active_vle_days,float64,3474,10.658730402233608,91
vle_event_count,float64,3474,10.658730402233608,865
distinct_vle_sites,float64,3474,10.658730402233608,187
first_vle_day,float64,3474,10.658730402233608,91
last_vle_day,float64,3474,10.658730402233608,93
vle_span_days,float64,3474,10.658730402233608,92
early_assessments_submitted,float64,7706,23.643113551989693,4
mean_early_score,float64,7727,23.70754456478385,411
median_early_score,float64,7727,23.70754456478385,187
max_early_score,float64,7727,23.70754456478385,96
mean_submission_delay,float64,7706,23.643113551989693,212
late_early_submissions,float64,7706,23.643113551989693,5
early_assessment_attempts,float64,7706,23.643113551989693,4
early_assessments_available,float64,833,2.5557635075016107,4
assessment_submission_rate,float64,0,0.0,7
