feature,mean_permutation_f1,sd_permutation_f1,domain
assessment_submission_rate,0.07399253916366516,0.04927634816997972,early_dynamic
mean_early_score,0.036354619528019154,0.007160971017939936,early_dynamic
last_vle_day,0.030500826976443067,0.0050177857835384835,early_dynamic
mean_submission_delay,0.01386393673151819,0.0023308590673208097,early_dynamic
first_vle_day,0.007512332284949408,0.006515600238907443,early_dynamic
module_presentation_length,0.007302441481327708,0.0034796284821929304,static
max_early_score,0.005739980221156349,0.002766519057882689,early_dynamic
boundary_day,0.0029215907672352466,0.003987447644508139,static
median_early_score,0.0028384776277396505,0.00144512701777051,early_dynamic
early_assessments_available,0.0027289140395346315,0.0016336114896030017,early_dynamic
late_early_submissions,0.0017541531409168386,0.0023730159470013077,early_dynamic
active_vle_days,0.0016722401082351125,0.0012703989420443848,early_dynamic
early_assessment_attempts,8.253995231733536e-05,0.00045162959487393906,early_dynamic
early_assessments_submitted,3.166115979572389e-05,0.002055935375153225,early_dynamic
vle_span_days,-0.00012160754794233062,0.0009908639020780757,early_dynamic
total_clicks,-0.0003923106972820412,0.001640664805413273,early_dynamic
vle_event_count,-0.0006860180029834883,0.0013281958892925824,early_dynamic
distinct_vle_sites,-0.0013654642079636095,0.0018949148587659522,early_dynamic
